Freq.	S11(v1)	S21(v1)
5.52552560710711e+07	-2.74562596407153e-01,-8.15903546655835e-02	2.54693385043260e-01,-9.23608395384967e-01
5.55555563703704e+07	-2.73103249941415e-01,-7.90025711628271e-02	2.47792133638925e-01,-9.26139733480917e-01
5.58558566696697e+07	-2.71562654510544e-01,-7.64176373025213e-02	2.40839284299490e-01,-9.28640290787057e-01
5.61561569689690e+07	-2.69939967118268e-01,-7.38369566879170e-02	2.33833943081184e-01,-9.31109137431737e-01
5.64564572682683e+07	-2.68234350369211e-01,-7.12619722142972e-02	2.26775216491931e-01,-9.33545298008272e-01
5.67567575675676e+07	-2.66444973493380e-01,-6.86941671535367e-02	2.19662212661751e-01,-9.35947750480402e-01
5.70570578668669e+07	-2.64571013439321e-01,-6.61350662435153e-02	2.12494042580135e-01,-9.38315425084203e-01
5.73573581661662e+07	-2.62611656038666e-01,-6.35862367801964e-02	2.05269821403179e-01,-9.40647203228543e-01
5.76576584654655e+07	-2.60566097244843e-01,-6.10492897099579e-02	1.97988669833314e-01,-9.42941916396438e-01
5.79579587647648e+07	-2.58433544448719e-01,-5.85258807195708e-02	1.90649715574502e-01,-9.45198345049821e-01
5.82582590640641e+07	-2.56213217874001e-01,-5.60177113209798e-02	1.83252094865782e-01,-9.47415217540514e-01
5.85585593633634e+07	-2.53904352055197e-01,-5.35265299278074e-02	1.75794954096073e-01,-9.49591209030415e-01
5.88588596626627e+07	-2.51506197400960e-01,-5.10541329202582e-02	1.68277451503126e-01,-9.51724940424168e-01
5.91591599619620e+07	-2.49018021845610e-01,-4.86023656948223e-02	1.60698758959535e-01,-9.53814977317862e-01
5.94594602612613e+07	-2.46439112591617e-01,-4.61731236949229e-02	1.53058063848671e-01,-9.55859828967586e-01
5.97597605605606e+07	-2.43768777945780e-01,-4.37683534183421e-02	1.45354571033373e-01,-9.57857947281936e-01
6.00600608598599e+07	-2.41006349251775e-01,-4.13900533969754e-02	1.37587504920180e-01,-9.59807725842922e-01
6.03603611591592e+07	-2.38151182921685e-01,-3.90402751441453e-02	1.29756111621811e-01,-9.61707498960009e-01
6.06606614584585e+07	-2.35202662569020e-01,-3.67211240643782e-02	1.21859661220517e-01,-9.63555540762359e-01
6.09609617577578e+07	-2.32160201245627e-01,-3.44347603202182e-02	1.13897450134809e-01,-9.65350064334706e-01
6.12612620570571e+07	-2.29023243784747e-01,-3.21833996502955e-02	1.05868803591926e-01,-9.67089220902639e-01
6.15615623563564e+07	-2.25791269252329e-01,-2.99693141325185e-02	9.77730782082756e-02,-9.68771099073425e-01
6.18618626556557e+07	-2.22463793508491e-01,-2.77948328858808e-02	8.96096646798509e-02,-9.70393724138895e-01
6.21621629549550e+07	-2.19040371880845e-01,-2.56623427040073e-02	8.13779905844450e-02,-9.71955057447302e-01
6.24624632542543e+07	-2.15520601951122e-01,-2.35742886131748e-02	7.30775232972204e-02,-9.73452995851437e-01
6.27627635535536e+07	-2.11904126456248e-01,-2.15331743471544e-02	6.47077730209166e-02,-9.74885371240700e-01
6.30630638528529e+07	-2.08190636304750e-01,-1.95415627308286e-02	5.62682959316561e-02,-9.76249950165231e-01
6.33633641521522e+07	-2.04379873708961e-01,-1.76020759641439e-02	4.77586974409657e-02,-9.77544433560591e-01
6.36636644514515e+07	-2.00471635433133e-01,-1.57173957975588e-02	3.91786355742239e-02,-9.78766456581922e-01
6.39639647507508e+07	-1.96465776157138e-01,-1.38902635897553e-02	3.05278244653151e-02,-9.79913588556883e-01
6.42642650500501e+07	-1.92362211954930e-01,-1.21234802379965e-02	2.18060379667915e-02,-9.80983333067090e-01
6.45645653493494e+07	-1.88160923886445e-01,-1.04199059711272e-02	1.30131133743102e-02,-9.81973128168159e-01
6.48648656486487e+07	-1.83861961701026e-01,-8.78245999485112e-03	4.14895526354236e-03,-9.82880346758842e-01
6.51651659479480e+07	-1.79465447649842e-01,-7.21411997855963e-03	-4.78646056288480e-03,-9.83702297110112e-01
6.54654662472473e+07	-1.74971580404112e-01,-5.71792137266016e-03	-1.37930830215145e-02,-9.84436223565387e-01
6.57657665465466e+07	-1.70380639075177e-01,-4.29695654503279e-03	-2.28707815911173e-02,-9.85079307423418e-01
6.60660668458459e+07	-1.65692987331740e-01,-2.95437372497268e-03	-3.20193420572985e-02,-9.85628668015663e-01
